Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Highgate Springs,Vermont,212,US-Canada Border,Apr 2025,Rail Containers Empty,129,45.015,-73.085,POINT (-73.085037 45.015414)
Ogdensburg,New York,701,US-Canada Border,Apr 2025,Bus Passengers,127,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Columbus,New Mexico,2406,US-Mexico Border,Apr 2025,Pedestrians,20905,31.784,-107.628,POINT (-107.627948 31.783742)
Metaline Falls,Washington,3025,US-Canada Border,Apr 2025,Personal Vehicle Passengers,2179,49.0,-117.299,POINT (-117.299444 48.999972)
Calais,Maine,115,US-Canada Border,Apr 2025,Bus Passengers,318,45.189,-67.275,POINT (-67.275381 45.188548)
Columbus,New Mexico,2406,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,69942,31.784,-107.628,POINT (-107.627948 31.783742)
Sumas,Washington,3009,US-Canada Border,Apr 2025,Buses,9,49.002,-122.265,POINT (-122.264805 49.002388)
Neche,North Dakota,3404,US-Canada Border,Apr 2025,Personal Vehicle Passengers,1648,49.001,-97.557,POINT (-97.557333 49.000527)
Carbury,North Dakota,3421,US-Canada Border,Apr 2025,Truck Containers Empty,3,48.999,-100.556,POINT (-100.555805 48.999416)
Fort Kent,Maine,110,US-Canada Border,Apr 2025,Pedestrians,40,47.249,-68.604,POINT (-68.603918 47.249206)
Nogales,Arizona,2604,US-Mexico Border,Apr 2025,Truck Containers Loaded,62685,31.333,-110.943,POINT (-110.942516 31.332839)
Alcan,Alaska,3104,US-Canada Border,Apr 2025,Personal Vehicles,3090,62.615,-141.001,POINT (-141.001444 62.614961)
Grand Portage,Minnesota,3613,US-Canada Border,Apr 2025,Pedestrians,1,48.001,-89.585,POINT (-89.58515 48.001427)
Point Roberts,Washington,3017,US-Canada Border,Apr 2025,Truck Containers Empty,427,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Porthill,Idaho,3308,US-Canada Border,Apr 2025,Personal Vehicle Passengers,7065,49.0,-116.499,POINT (-116.49925 48.999861)
International Falls,Minnesota,3604,US-Canada Border,Apr 2025,Train Passengers,630,48.608,-93.401,POINT (-93.401355 48.6078)
Brownsville,Texas,2301,US-Mexico Border,Apr 2025,Truck Containers Loaded,16752,25.952,-97.401,POINT (-97.40067 25.95155)
Eastport,Idaho,3302,US-Canada Border,Apr 2025,Train Passengers,216,49.001,-116.181,POINT (-116.181027 49.000555)
International Falls,Minnesota,3604,US-Canada Border,Apr 2025,Pedestrians,303,48.608,-93.401,POINT (-93.401355 48.6078)
Highgate Springs,Vermont,212,US-Canada Border,Apr 2025,Personal Vehicles,25155,45.015,-73.085,POINT (-73.085037 45.015414)
Fort Fairfield,Maine,107,US-Canada Border,Apr 2025,Buses,1,46.765,-67.789,POINT (-67.789471 46.765323)
Ogdensburg,New York,701,US-Canada Border,Apr 2025,Buses,5,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Alexandria Bay,New York,708,US-Canada Border,Apr 2025,Bus Passengers,2158,44.347,-75.984,POINT (-75.983592 44.347229)
Fort Kent,Maine,110,US-Canada Border,Apr 2025,Trucks,235,47.249,-68.604,POINT (-68.603918 47.249206)
Bridgewater,Maine,127,US-Canada Border,Apr 2025,Personal Vehicle Passengers,2611,46.45,-67.785,POINT (-67.78484 46.450335)
Madawaska,Maine,109,US-Canada Border,Apr 2025,Trucks,1180,47.36,-68.329,POINT (-68.328684 47.360052)
Carbury,North Dakota,3421,US-Canada Border,Apr 2025,Trucks,3,48.999,-100.556,POINT (-100.555805 48.999416)
Portal,North Dakota,3403,US-Canada Border,Apr 2025,Pedestrians,45,48.999,-102.552,POINT (-102.551944 48.998944)
Northgate,North Dakota,3406,US-Canada Border,Apr 2025,Train Passengers,75,48.999,-102.275,POINT (-102.27475 48.998833)
Sweetgrass,Montana,3310,US-Canada Border,Apr 2025,Trains,32,48.998,-111.96,POINT (-111.959611 48.998388)
Grand Portage,Minnesota,3613,US-Canada Border,Apr 2025,Trucks,884,48.001,-89.585,POINT (-89.58515 48.001427)
Porthill,Idaho,3308,US-Canada Border,Apr 2025,Truck Containers Empty,127,49.0,-116.499,POINT (-116.49925 48.999861)
Sumas,Washington,3009,US-Canada Border,Apr 2025,Bus Passengers,95,49.002,-122.265,POINT (-122.264805 49.002388)
Presidio,Texas,2403,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,120612,29.562,-104.395,POINT (-104.394907 29.561827)
Buffalo Niagara Falls,New York,901,US-Canada Border,Apr 2025,Truck Containers Empty,16536,43.095,-79.056,POINT (-79.055847 43.09549)
Eagle Pass,Texas,2303,US-Mexico Border,Apr 2025,Trucks,26204,28.705,-100.512,POINT (-100.511977 28.705483)
Maida,North Dakota,3416,US-Canada Border,Apr 2025,Personal Vehicle Passengers,418,49.0,-98.365,POINT (-98.36525 49.00025)
El Paso,Texas,2402,US-Mexico Border,Apr 2025,Personal Vehicle Passengers,1088006,31.764,-106.451,POINT (-106.451188 31.764363)
Limestone,Maine,118,US-Canada Border,Apr 2025,Truck Containers Loaded,7,46.925,-67.79,POINT (-67.789597 46.924555)
